ym,n,tight,stress,recov,rat
2020-04,40,0.0,95.0,10.0,"기준금리 0%대 시대가 열리고, 미국과 중국이 금리인하를 할 것이라는 전망이 나오며, 미국 2조달러 부양책, 한국 긴급재난지원금, 추경예산 3조1천억원 확보 등 전례 없는 돈풀기 속도전이 진행되고 있어 통화긴축 신호"
2020-05,29,0.0,80.0,40.0,"파월의 돌직구 '정부, 재정 더 풀어라'미국의 국내총생산(GDP)이 지난 1분기 -4.8%(연율) 감소한 것으로 드러난 가운데 제롬 파월 미 중앙은행(Fed) 의장이 29일(현지시간) “경제가 회복 궤도에 들어설 때"
2020-06,35,0.0,80.0,40.0,"코로나19로 인한 '코로나發 자금수요에 올해 은행채 순발행 30조 육박', '금융사, 코로나發 '신종자본증권·후순위채' 잇단 발행', '코로나 여파' 올해 은행권 대외채무 급증' 등 금융 시장의 불안정성이 높고, '"
2020-07,27,10.0,70.0,60.0,macro_tightening은 '저금리로 NIM 축소 및 대손비용 증가 등 영향'과 '저금리와 아파트 대출 규제 등의 풍선 효과로 꼬마빌딩에 투자자들이 몰리고 있다'에서 저금리 기조가 유지되고 있음을 알 수 있어 
2020-08,40,10.0,60.0,70.0,"기재부 차관 '6월 경제지표 개선조짐 뚜렷…3분기 반등 가능성' 및 홍 부총리 '코로나 진정세 이어간다면 3분기 상당부분 반등 가능' 등 경기 회복 기대감이 높지만, '쏟아지는 공장 경매…불 꺼지는 공단'과 'CGV"
2020-09,40,10.0,70.0,30.0,"코로나19 확진자 증가, 사회적 거리두기 2단계 상향, 2차 재난지원금 논의, 소상공인 대출 금리 인하, 가계빚 사상 최대 등 전반적으로 거시 경제의 불안정성이 높고 회복 기대는 낮다. 다만, 인도 정책금리 동결, "
2020-10,37,0.0,60.0,40.0,"코로나19 신규확진이 38명으로 49일만에 50명 아래로 떨어졌다는 소식과 PGA투어에 갤러리 입장이 허용된다는 소식은 회복 기대를 높이지만, 신규확진이 다시 114명으로 사흘째 세자릿수를 기록하며 추석연휴 확산세 "
2020-11,29,20.0,60.0,50.0,"macro_tightening은 '저축銀 고금리 특판 봇물'에서 일부 긴축 신호가 보이나, 전반적으로는 '금융지주 배당 확대 고민 VS 당국 배당 자제'와 '5년 뒤로 미룬 재정준칙' 등 완화적 기조가 우세하여 낮게"
2020-12,28,10.0,60.0,70.0,"코로나 백신 개발 기대감, 미국의 정권 교체, 증시의 무서운 상승세가 코로나 확진자 급증이라는 뉴스와 뒤섞여 있으며, 애널리스트들은 미국 경제가 올해 4분기에 4% 성장할 것이라는 예측을 내놓고 있고, 억만장자 투자"
2021-01,40,10.0,60.0,40.0,"macro_tightening은 '한은, 내년 통화정책 '완화 기조' 유지…저금리 계속된다'에서 완화 기조를 유지한다고 밝혀 낮게 평가했습니다. macro_stress는 '""내년 1월 경기도 불확실"" 코로나 3차 유"
2021-02,40,20.0,40.0,60.0,"카카오뱅크가 '예·적금 금리 0.2%p 인상'을 발표하며 통화긴축 신호가 일부 보이지만, 코스피가 '종가기준 첫 3200선 돌파'하고 '올해 글로벌 증시 성장률, 美 증시 앞설 것'이라는 전망과 '인텔, 베트남에 5"
2021-03,40,60.0,40.0,70.0,"물가상승 기대감 7년만에 최고, 국제유가 급등, 구리 가격 10년만에 최고치 등 인플레이션 신호가 강하며, 비트코인 폭락, 루시드 스팩 주가 폭락 등 일부 자산의 불안정성이 보이지만, 바이든 부양책 지지, 베트남 증"
2021-04,40,70.0,60.0,50.0,"월가 강세론자 야데니 '10년만기 美국채 수익률 18개월내 3%까지 뛸 것', '헤지펀드 전설' 레이 달리오 '美연준, 예상보다 빨리 금리 올릴 것', '美 플라스틱 수출가격 급등…인플레이션 압박↑' 등 인플레이션 "
2021-05,40,70.0,60.0,65.0,"3월 은행 가계대출 금리 상승…주담대 '7개월 연속 오름세'와 파월 美 연준의장 '금리 정상화 한참 전에 양적완화 축소할 것' 발언은 통화긴축 신호가 강하며, 벤츠도 못 피한 반도체 대란…다임러 獨 공장 2곳 '생산"
2021-06,40,70.0,30.0,60.0,"경기 반등에…국고채 장단기 금리차 10년來 최대로 벌어졌다'는 유동성 증가와 물가상승 압력을 시사하며 통화긴축 신호가 강하다. 동시에 'OECD 경제전망 발표'와 '4대 그룹, 美서 44조원 투자 보따리 풀었다', "
2021-07,40,70.0,40.0,60.0,macro_tightening은 '빨라지는 美 금리인상…2023년으로 1년 앞당겼다'와 '이주열 한국은행 총재는 지난 11일 “통화정책 완화 정도의 조정 시기와 속도를 판단하는 것을 하반기 이후 역점을 두고 추진하겠
2021-08,36,70.0,60.0,40.0,"통화긴축 신호는 '韓銀, 밀실에서 금리 인상 추진하나', '비트코인 끝물 오나…연준발 악재에 가격 급락, 3만달러선 근접', '[시장경제칼럼] 자생적 질서와 비트코인' 등에서 인플레이션 우려와 금리 인상 가능성이 언"
2021-09,40,70.0,50.0,40.0,"macro_tightening은 'CNBC ""한국 선진국 중 최초 금리인상""…'선진국'에 방점' 헤드라인에서 한국이 선진국 중 최초로 금리인상을 단행했음을 명확히 언급하여 강한 긴축 신호를 보여준다. macro_st"
2021-10,37,80.0,70.0,30.0,"통화긴축 신호는 '미국 금리인상을 펀더멘털 정상화 과정의 하나로 보고', '하반기 대출 금리 계속 오른다…테이퍼링·금리↑영향' 등에서 강하게 나타나며, 거시 위험은 '흔들리는 증시 속', '글로벌 증시가 출렁거렸다'"
2021-11,40,80.0,70.0,40.0,연일 오르는 시장 금리…영끌·빚투 대출자들 속탄다 [왕개미 연구소]금융당국이 지속해서 가계대출 관리를 강화하는 가운데 은행들이 일부 대출 상품의 우대금리를 축소하거나 없애고 있다./연합뉴스 요즘 금리 상승 추이가 심
2021-12,33,70.0,60.0,40.0,"macro_tightening은 '파월보다 바이든 면담 길었다, 실세 연준 부의장 등장에 월가 긴장'과 '美, 전략비축유 방출…한국·일본·인도·중국·영국도 동참키로', '바이든, 석유 적폐 취급하다 기름값 폭등…유럽"
2022-01,40,20.0,60.0,30.0,"미국 상무부가 한국산 철강후판에 상계관세를 부과하고, 중국이 희토류 공룡 기업을 세워 세계 수출시장 통제를 강화하며, 코로나 팬데믹 장기화로 중국 경기 하강 우려가 커지는 등 거시적 불안 요인이 존재한다. 또한, 국"
2022-02,32,80.0,70.0,20.0,"파월 ""美, 더이상 코로나 부양 필요없다"" 제롬 파월 미국 연방준비제도 의장이 물가 상승세를 억누르기 위해 금리를 인상하겠다는 의지를 재확인했다. '파월 피벗(Pivot).' 최근 미국 월가의 유행어다. 피벗은 회전"
2022-03,40,80.0,70.0,30.0,통화긴축 신호는 '40년 만에 7% 넘는 물가에 미국이 깜짝 놀랐다. 제롬 파월 미 연준 의장은 금리를 빠르게 올려 인플레를 잡을 태세다.'와 '돈풀기 폭주 시작된다 추경 증액 움직임에 치솟는 채권 금리'에서 강하게
2022-04,40,80.0,70.0,20.0,"물가·금리·환율 안정이 최우선이다, 유가 폭등에 인플레 악화…美 주정부들 유류세 면제하고 보조금, 제재국도 출혈감수한다…美, 러 석유 금수 검토, 유가 140달러 근접 등의 헤드라인에서 통화긴축 및 거시 위험 신호가"
2022-05,40,90.0,85.0,10.0,"美 3월 물가상승률 8.5% 쇼크…큰 폭 금리인상 등 초긴축 예고, 美 1분기 성장률 -1.4% '곤두박질', [朝鮮칼럼 The Column] 새 정부 최대의 敵은 인플레이션, 베이징 봉쇄 공포…中 상하이 증시 5%"
2022-06,40,80.0,70.0,10.0,"EU의 '러 원유 수입 90% 감축'은 지정학적 긴장을 높이고, '美 22년만에 금리 인상 '빅스텝''과 '인플레이션 우려와 금리 인상, 우크라이나 전쟁 영향 등으로 투자금이 줄면서 세계 스타트업에 찬바람이 불고 있"
2022-07,40,90.0,85.0,10.0,"미국 연준의 '자이언트 스텝' 금리 인상과 '인플레 끌어내리기 총력' 발언, '인플레이션 쇼크로 세계 경제가 빠르게 냉각' 등의 헤드라인에서 통화 긴축과 물가 급등 신호가 매우 강하게 나타나며, '주식시장이 약세장으"
2022-08,40,90.0,85.0,10.0,"미국 6월 소비자물가가 41년 만에 최고치인 9.1%로 치솟았고, 한국은행이 사상 처음으로 한 번에 금리를 0.5%포인트 올리는 ‘빅스텝’을 단행했으며, 미국 빅테크 기업들의 실적 악화와 채용 및 비용 지출 축소 소"
2022-09,34,80.0,70.0,20.0,"macro_tightening은 '최근 금리 인상 여파로 집값이 하락세로 돌아섰지만, 서울에서 중산층 가구가 대출받아 살 수 있는 아파트는 2.8%에 불과한 것으로 나타났다'와 '은행의 '과도한 이자 장사'를 경고했"
2022-10,32,90.0,85.0,10.0,"헤드라인에서 '환율, 물가, 금리까지 경제는', '인플레이션과 가파른 금리 인상 등 거시경제 위기로 스타트업 업계의 투자금이 말라붙으면서', '제롬 파월 미 연준 의장이 최근 잭슨홀 연설에서 던진 메시지는 단순하다."
2022-11,40,,,,ERR AttributeError
2022-12,40,70.0,80.0,20.0,"통화긴축 신호는 '금리 인상과 경기 둔화에도 불구하고 대한민국의 소비는 여전히 굳', '英 증세·긴축안 발표', '미국 중간선거 당일인 8일(현지 시각) 실시된 출구조사에서는 ‘인플레이션’이 가장 중요한 문제라고 응"
2023-01,33,80.0,90.0,10.0,"미국발 고금리 영향으로 서울 아파트 가격이 11월 1.45% 하락하는 등 주택 가격이 급락세를 보이고 있고, 금리 인상, 수요 둔화에 따른 전 세계적 경기 침체가 우려되는 가운데 글로벌 반도체 업체에서도 본격적인 정"
2023-02,25,70.0,80.0,20.0,"뉴스 헤드라인에서 '인플레 재발이 더 무섭다', '기조적 인플레이션이 여전히 심각합니다. 쉽게 사라지지 않을 겁니다.', '고금리 탓에 중고차를 할부로 사기 부담스러운 상황', '지난 한 해 지속돼 온 그리고 당분간"
2023-03,30,70.0,80.0,20.0,"뉴스 헤드라인에 '기준금리보다 대출 금리 더 올려, '이자 바가지' 씌운 은행들', '고물가·경기침체에 고용 한파, 기업 투자 활성화 외 답 없다', '경기 침체 속 공공요금 동시 인상, 경제에 악순환 만들 수도' "
2023-04,37,60.0,80.0,20.0,"뉴스 헤드라인에 '미·유럽 잇단 은행 위기, 우리도 '충당금 방파제' 미리 더 쌓아야', '소상공인과 자영업자들이 고금리와 대출 부담, 공공 요금 상승 등으로 어려움에 직면한 가운데', '경기 침체 우려가 커지면서 "
2023-05,30,70.0,80.0,30.0,"macro_tightening은 '고금리·고물가·고환율이 한꺼번에 닥친 삼중고'와 '금리 인상에 환율도 오른다고 해서 급락할 줄 알았는데'에서 강한 신호가 보이며, macro_stress는 '경기침체로 벼랑끝 몰린 "
2023-06,40,20.0,70.0,30.0,"macro_stress는 '[사설] 올 성장률 1%도 위험, 기업이 신나서 뛰게 하는 수밖에 없다'에서 '우리나라 3월 수출이 6개월째 감소세를 보이면서 무역수지가 13개월째 적자를 기록했다'는 내용과 '[사설] 나"
2023-07,40,30.0,70.0,40.0,"통화긴축 신호는 직접적으로 언급되지 않았으나, '장사 안되는데 이자 급등, 걱정 커지는 자영업 대량 파산 사태'에서 이자 급등이 언급되어 간접적인 긴축의 영향이 나타난다. 거시 위험·불안은 '코로나 이후 자영업자 빚"
2023-08,40,40.0,60.0,30.0,"macro_tightening은 '8월 국제선 유류할증료, 인상 전에 발권하세요'에서 유가 상승으로 인한 인상 요인이 보이지만, '시중 금리가 안정화 국면에 들어서고'라는 언급도 있어 혼재된 신호로 판단. macro"
2023-09,40,70.0,60.0,30.0,"통화긴축 신호는 '고금리 가계신용대출로 인한 자영업자의 금리부담을 낮추어 드리겠습니다', '[사설] 위험선 넘는 집값과 가계 부채, 부동산 연착륙 지원 중단 검토를', '한국 금리 정책 발목잡는 '트릴레마'…미국은 "
2023-10,40,70.0,60.0,30.0,"금리 인상에 따른 소비 감소 영향이 고령층보다 청년이 8배 더 높고, 청년들 사이에서도 부채가 많은 이들의 소비 감소가 부채 없는 이들보다 11배나 높다는 기사와 '가계부채 현황 점검회의' 개최 소식은 통화 긴축의 "
2023-11,40,60.0,70.0,20.0,"통화긴축 신호로는 '이창용 한은 총재, 금통위서 ""논의할 내용 많다""'와 '고금리 길어지며 녹색채권 부진'이 있으며, 거시 위험·불안 신호로는 '외국인력 이탈 방지책 '여전히 미흡'', 'SK하이닉스 반대로 무산? "
2023-12,40,60.0,70.0,30.0,통화긴축 신호는 '시중금리가 고점에 이르렀다는 분위기가 형성되면서 최근 채권투자에 관심이 높아지고 있습니다'와 '고금리에 자영업자와 서민 자금난이 심해지면서 카드 돌려막기로 버티는 신용 취약자들이 늘고'에서 고금리 
2024-01,40,30.0,40.0,50.0,"통화긴축 신호는 '낮은 금리로 대출 갈아타기' 확대 요구와 '고금리·구조조정 시기' 언급에서 일부 감지되나, '미 콘퍼런스보드가 시장의 기대를 웃도는 소비자 신뢰지수 보고서를 내 놓으면서 이날 뉴'와 '2023년의 "
2024-02,40,10.0,40.0,60.0,"회복 신호로는 '하이서울기업, 2023년 매출액 14.2조 원에 달하는 괄목한 성과 거둬', '뜨는 반도체 지는 이차전지…엇갈린 주가·실적 명암', '스타필드 수원, 이번 주말에만 '25만명' 인산인해', '미국 경"
2024-03,40,30.0,40.0,60.0,"macro_tightening은 '금리 고통' 중견·중기 76조 긴급수혈, '고물가, 고금리로 늘어난 이자, 세금, 공과금 부담을 덜어드리겠다'는 윤 대통령 발언에서 고금리 부담이 언급되었으나, 정부의 지원책이 함께"
2024-04,40,30.0,40.0,60.0,"M&A 시장 '조 단위 빅딜'이 사라지고 '고금리와 불확실한 경'기가 언급되었으나, '미국 경제 호조에 뉴욕증시 날랐다'며 '다우·S&P500 역대 최고치 '또' 경신'과 '연내 3회 금리 인하' 기대감에 '뉴욕증시"
2024-05,40,70.0,80.0,20.0,"미국에서 '저성장·고물가 덮친 美…올 금리인하 없다 비관론 확산', '골디락스로 가다, 무릎 까진 美경제', '파월 의장 ""2% 물가 목표 달성 확신까지 더 오래 걸릴 듯""' 등의 헤드라인에서 통화긴축 및 고물가 지"
2024-06,38,40.0,60.0,50.0,"한은이 성장률을 올렸지만 '상고하저'를 예상하고, 11번 연속 금리를 묶었으며, 파월 의장이 '고용 둔화하면 내릴 수 있다'고 금리인하 요건을 완화한 점은 긴축 신호가 약화될 수 있음을 시사한다. 그러나 '글로벌 경"
2024-07,35,30.0,60.0,70.0,"macro_tightening은 '美 연준, 기준금리 7연속 동결…올해 1회 금리인하 시사'에서 금리 인하 전망이 축소된 점이 있으나, 직접적인 금리 인상 신호는 약합니다. macro_stress는 'MZ세대, 최대"
2024-08,40,60.0,50.0,40.0,"금통위 '물가상승률, 목표 점차 수렴 예상…둔화 추세 지속 여부 확인 필요'와 '대출 규제와 금리인상 등 여건이 좋지 않은 상황이지만, 9월부터 대출 문턱이 더 높아질 것을 대비해 전세대출을 실행할 계획입니다.'에서"
2024-09,40,10.0,90.0,10.0,"헤드라인에 '연준, 금리 0.75%P 긴급 인하해야'라는 문구가 있어 통화 긴축 완화에 대한 요구가 있지만, '채권개미, 뜨거운 투자 열풍…금리하락 기대 속 국내 채권 27조원 순매수'는 금리 하락 기대를 보여주며,"
2024-10,37,30.0,60.0,50.0,"미국 기준금리 인하 기대감에도 건설사 조달 금리는 여전히 높은 수준이며, 부동산PF 비중이 높은 금융사의 신용등급 하방 압력이 강하다는 점에서 macro_stress가 높다. 반면, 마이크론의 장밋빛 전망과 고부가 "
2024-11,40,10.0,70.0,30.0,"한국은행이 3년2개월 만에 기준금리를 인하하며 긴축 기조를 완화했으나, '반도체·컴퓨터 생산 급감…IT경기 '빨간불''과 '경기침체 우려에 유로화 곤두박질' 등 경기 침체 우려가 강하게 나타나고 있다."
2024-12,40,10.0,70.0,40.0,"한국은행이 '2개월 연속 기준금리를 인하'하고 '내년 성장률 1%대 쇼크'를 언급했으며, 미국 연준도 '기준금리 0.25%P 인하…9월 이어 2회 연속'을 단행하여 통화긴축 신호는 약하다. 그러나 '강달러 여파, 환"
2025-01,40,30.0,60.0,40.0,"미 연준의 매파적 스탠스와 금리 정책 변화 조짐으로 비트코인 가격이 하락하고, 국내 증시는 연말연시 거래량 부진과 정치적 불확실성으로 변동성 확대가 전망되나, 월가에서는 AI 열풍에 힘입어 2025년에도 랠리를 전망"
2025-02,40,30.0,70.0,40.0,"통화긴축 신호는 트럼프의 금리인하 요구 발언이 있으나, 한은은 금리 동결을 결정했고, '경기만 보면 금리인하가 당연'하다는 발언으로 긴축보다는 경기 부양의 필요성을 시사한다. 거시 위험·불안은 '코스피가 31일 외국"
2025-03,40,20.0,60.0,40.0,"한국은행이 '금통위원 만장일치로 금리인하 결정' 및 '기준금리 낮추면서 금중대 금리도 인하'를 발표하여 통화긴축 신호는 약하지만, '中증시, 트럼프 10% 추가 관세 위협에 급락 마감'과 '글로벌 불확실성 공동 대응"
2025-04,40,30.0,70.0,40.0,"추경 시동 거는 당정, 채권 시장 긴장…외국인 국채 선물 매도, 미국 신정부의 관세 부과로 인한 통상리스크 현실화, '공매도 재개' 단기충격 불가피…미국발 관세전쟁·경기둔화 우려가 더 큰 악재, 금융당국, PF 정리"
2025-05,40,20.0,70.0,40.0,"트럼프 미국 대통령의 관세 정책에 많은 경제 전문가들이 미국 경제의 급격한 침체를 우려하고 있으며, '미 관세'로 경기 하방 압력이 증가하고 있다고 진단했습니다. 또한, 트럼프가 파월 연방준비제도 의장을 '실패자'라"
2025-06,40,20.0,60.0,40.0,"트럼프發 관세 부활 우려와 '흔들리는 달러 신뢰도-널뛰는 환율' 기사에서 거시 위험과 불안이 감지되며, 시중은행 금리 인하 소식은 통화 긴축 신호가 약함을 시사한다. 코스피 5000시대 언급과 기업들의 실적 반등 소"
2025-07,40,20.0,40.0,70.0,"뉴욕증시가 '지정학 리스크 완화에 반등 마감…S&P500 6000선 회복'하고, 코스피가 '하루만에 반등'하여 '3100선도 뚫었다'는 점은 회복 기대감을 높인다. 다만, '중동사태 대응 '금융·외환시장 24시간 점"
2025-08,40,50.0,60.0,40.0,"가계대출 증가 속도가 빠르게 둔화되고 서민들이 은행 대신 대부업체로 몰렸다는 '6·27 가계부채 대책' 시행 한 달 기사가 통화긴축의 효과와 서민 경제의 스트레스를 보여주며, 집중호우 피해 특별재난지역에 대한 지원 "
2025-09,40,20.0,60.0,30.0,"미국발 관세 대응책 논의, 미국 정부의 반도체 기업 지분 요구, 6.27 대출규제 이후 전세 매물 감소 및 월세 치솟음, 부동산 경기 침체로 인한 상가 공실, 외국인 부동산 투기 차단 정책 등 거시적 불안 요인이 다"
2025-10,40,50.0,60.0,40.0,통화긴축 신호는 '한미 금리역전이 뉴노멀'이라는 언급과 '채권시장이 대형재료와 이벤트가 이어지고 있음에도 불구하고 좀처럼 박스권을 벗어나지 못하고 있다'는 점에서 중간 수준으로 판단된다. 거시 위험·불안은 'IMF가
2025-11,40,70.0,60.0,40.0,"신한은행이 최대 연 6.6% 금리를 제공하는 적금 상품을 출시했고, 정부의 10·15 부동산 대책으로 주택담보대출 한도가 제한되고 서울 전역과 경기 일부 지역이 규제지역으로 묶이는 등 통화 긴축 및 부동산 시장 규제"
2025-12,38,80.0,60.0,50.0,"한국은행 금융통화위원회의 매파적 금리 동결로 국채 금리가 일제히 상승했으며, 정부는 환율에 이어 국채 금리도 급등하자 국채 발행량을 대폭 줄이며 대응에 나섰다. 또한, 고환율에 사라진 뉴욕 명문대 졸업장 기사에서 고"
2026-01,40,70.0,80.0,20.0,"환율이 달러당 1480원을 넘어, 1500원까지 다다를 것이란 불안감이 커지고, '환율·금리·물가' 진짜 일을 하라는 비판이 있으며, 고금리·고물가가 이어지는 상황에서 금융 역량 강화 프로그램이 운영되는 등 통화긴축"
2026-02,40,50.0,70.0,60.0,"코스피 5000선 돌파, SK하이닉스 반도체 슈퍼 사이클 등 긍정적 신호가 있으나, '1500원 고환율에 떠는 미래산업' 기사에서 고환율 장기화로 인한 원가 부담과 '마이너스 성장'의 경고, 건설업계 회사채 만기 부"
2026-03,40,70.0,60.0,40.0,"‘갤26 울트라’ 200만원 돌파…삼성 '환율 압박에 조정 불가피' 칩플레이션에 고환율까지…결국 인상, [데스크 시각] 파월의 뚝심, 트럼프의 블랙코미디 '당장 금리를 내리라며 연준과 제롬 파월', [논현광장_박덕배"
2026-04,40,20.0,60.0,40.0,"신현송 '환율 큰 우려 없어…매·비둘기 이분법 바람직하지 않아'는 통화긴축 신호가 강하지 않음을 시사하지만, '에너지 슈퍼 트릴레마, 한국 생존 전략은 AI·반도체 전력 폭증, 공급은 10년 지연'과 '제조·건설업 "
2026-05,40,70.0,60.0,80.0,"UAE의 OPEC 탈퇴, 고유가 피해지원금 지급, 휘발유 2000원 시대 등 유가 상승 압력이 강하고, 한은 총재가 통화정책만으로 경제 안정 어려움을 언급하며 물가 및 긴축 우려가 존재한다. 동시에 이란에 대한 미국"
2026-06,40,80.0,60.0,70.0,"한은이 'AI 호황에 금리 인상 신호탄'을 쏘고 '첫 기준금리 인상'을 시사하며 주담대 금리 인상 가능성을 언급했으며, '얼어붙은 5월 회사채 발행…높아진 금리에 기업들 '한숨''이라는 헤드라인에서 통화긴축 신호가 "
